Designator,Footprint,Quantity,Value,LCSC Part #
C1,603,1,4u7,C19666
C10,402,1,1u,C52923
"C11, C13",402,2,12p,C1547
C12,402,1,10n,C15195
"C14, C15, C8",1206,3,10u,C13585
C16,603,1,10n,C57112
"C17, C18, C3, C5, C6, C7, C9",402,7,100n,C1525
"C2, C4",603,2,2u2,C23630
D1,603,1,BLUE,C72041
"D2, D3",D_SOD-123,2,B5819W,C8598
D4,603,1,RED,C2286
F1,1206,1,250mA,C369159
FB1,805,1,600 @ 600MHz,C1017
J2,AMPHENOL_10118193-0001LF,1,10118193-0001LF,C132562
"J3, J5",Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal,2,Conn_01x04,C588275
J4,PinHeader_2x05_P1.27mm_Vertical_SMD,1,SWD,
"J6, J7",SAMTEC_TSW-120-24-T-S,2,TSW-120-24-T-S,
J8,NINIGI_DC-005,1,DC-005,C7471792
L1,402,1,39n,C26443
L2,IND_SPM6530T-100M-HZ,1,10u,C360728
Q1,SOT-23,1,AO3401A,C15127
R1,603,1,1k5,C22843
R10,603,1,270,C22966
R11,603,1,1k,C21190
"R12, R13",402,2,2k2,C25879
"R2, R6",402,2,2k2,C25879
R3,603,1,100k,C25803
R4,603,1,68k,C23231
R5,402,1,10k,C25744
R7,402,1,47,C25118
R8,603,1,47k,C25819
R9,603,1,15k,C22809
SW1,SW_SPDT_PCM12,1,SW_SPDT,C221841
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,C15742
U2,SOT-23-6,1,MP2359DJ-LF-Z,C14259
U3,SOT-23-6,1,USBLC6-2SC6,C7519
U4,XDCR_BMI270,1,BMI270,C2836813
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
