Designator,Mid X,Mid Y,Rotation,Layer
C1,17.75,34.23,270.0,top
C10,27.48,30.75,180.0,top
C11,42.25,37.25,0.0,top
C12,27.5,29.5,180.0,top
C13,42.35,42.6,180.0,top
C14,41.6,18.5,90.0,top
C15,41.6,13.2,270.0,top
C16,32.25,21.75,90.0,top
C17,36.25,54.5,90.0,top
C18,39.25,55.25,180.0,top
C2,24.75,29.25,180.0,top
C3,35.25,36.75,90.0,top
C4,18.75,41.0,180.0,top
C5,22.75,30.75,180.0,top
C6,22.8,46.5,180.0,top
C7,19.5,34.25,270.0,top
C8,24.825,14.6625,180.0,top
C9,35.25,43.25,90.0,top
D1,41.75,30.7125,90.0,top
D2,28.0,6.0,180.0,top
D3,29.75,14.75,270.0,top
D4,39.5,30.7125,90.0,top
F1,33.0,8.6125,180.0,top
FB1,33.5,11.0,0.0,top
J2,29.5,61.5,180.0,top
J3,4.5,58.35,270.0,top
J4,17.75,60.7,270.0,top
J5,49.45,58.35,90.0,top
J6,2.5,26.4175,270.0,top
J7,51.5,26.4175,270.0,top
J8,13.49,6.25,90.0,top
L1,29.25,30.25,90.0,top
L2,35.25,16.0,0.0,top
Q1,25.3125,11.0,0.0,top
R1,41.77,27.175,90.0,top
R10,32.25,24.75,0.0,top
R11,39.5,27.175,90.0,top
R12,37.75,48.75,180.0,top
R13,40.75,48.75,0.0,top
R2,15.5,38.5,270.0,top
R3,25.5,22.0,270.0,top
R4,25.5,18.5,270.0,top
R5,12.7,40.5,270.0,top
R6,15.25,35.7,90.0,top
R7,38.0,41.0,90.0,top
R8,31.5,27.5,270.0,top
R9,28.75,24.75,0.0,top
SW1,10.58,46.5,270.0,top
U1,27.25,38.75,0.0,top
U2,29.0,21.0,90.0,top
U3,27.0,50.75,90.0,top
U4,39.25,52.3375,180.0,top
Y1,42.25,40.0,0.0,top
